written report . ||| kursen examineras i form av en skriftlig rapport
2. write a c program for a microprocessor with focus on management of peripherals . ||| 2. skriva ett c-program för en mikroprocessor med fokus på hantering av periferienheter.
3. demonstrate basic skills in managing and following up a technical development project in a group of a handful of developers . ||| 3. visa basfärdigheter i att driva och följa upp ett tekniskt utvecklingsprojekt som drivs i en grupp om en handfull utvecklare.
4. with the support of the basic functions of a version control system , organizing ongoing documentation , reports , and program code . ||| 4. med stöd av grundläggande funktioner hos ett versionshanteringssystem , organisera löpande dokumentation , rapporter samt programkod.
5. write a basic project plan prior to a technical development project . ||| 5. skriva en grundläggande projektplan inför ett tekniskt utvecklingsprojekt.
6. write a project report at the conclusion of a technical development project as well as critically examine another project . ||| 6. skriva en projektrapport som avslutning på ett tekniskt utvecklingsprojekt samt kritiskt granska ytterligare ett projekt.
7. reason about choices and conclusions , their background and their consequences , in his/her own project as well as for another project . ||| 7. resonera om ställningstaganden och slutsatser , deras bakgrund och deras följder , i det egna projektet samt för ytterligare ett projekt .
initially the lectures introduce the features of the microprocessor system that facilitate technical assessments and system design choices . ||| initialt introducerar föreläsningarna den mikrodatorteknik som krävs för att göra tekniska bedömningar och val vid konstruktion av systemet .
in addition , the early lectures highlight how to run and document technical development projects , including aspects such as technical writing , group dynamics , and version control . ||| dessutom belyser de tidiga föreläsningarna hur man driver och dokumenterar tekniska utvecklingsprojekt , till exempel aspekter som rapportskrivning , gruppdynamik och versionshantering .
the project team , which is assembled by the teacher team , selects a project from a limited number of offered projects . ||| projektgruppen , som sätts samman av lärarlaget , väljer projekt från ett begränsat antal erbjudna projekt .
in connection with the project selection , a project mentor , who provides support during the project , is assigned to each project team . ||| i samband med valet tilldelas varje projektgrupp en mentor som ger stöd under projektarbetet .
during the first two study weeks , the project team is focused on assimilating technical documents and on preparing a project plan . ||| de första två läsveckorna ägnar projektgruppen sig främst åt att läsa in sig på teknisk dokumentation och åt att utarbeta en projektplan .
the system implementation work commences during study week 3 and runs , supported by weekly project meetings and continuous documentation , until the final two study weeks when the work on system verification , demonstration preparation , and final documentation is intensified . ||| konstruktionsarbetet påbörjas i läsvecka 3 och löper , med stöd av veckovisa projektgruppsmöten och kontinuerlig dokumentation , fram till de avslutande två läsveckorna då arbetet med systemverifiering , demonstrationsförberedelser och slutdokumentation intensifieras .
knowledge and understanding demonstrate knowledge in robotics , their control and/or communication systems with emphasis on hands-on experience with their construction , their programming and insights of current research and development in the area . ||| kunskap och förståelse förvärvat kunskaper inom robotik , inbyggda styrsystem och / eller kommunikationssystem med betoning på praktisk erfarenhet av konstruktion , programmering samt insikter i aktuell forskning och utveckling inom området .
skills and abilities demonstrate the ability to develop and design computer control and distributed algorithms , programs , network protocols , which are adapted to the needs and capacities of road users , and which meet the societal requirements of sustainable development in social and ecological terms . ||| färdighet och förmåga visa förmåga att utveckla och konstruera datoriserade styrsystem , distribuerade algoritmer , program och nätverksprotokoll , anpassade efter användande trafikanters behov , och som möter samhälleliga krav på hållbar utveckling i sociala och ekologiska termer .
demonstrate the ability to work in teams and to collaborate in groups with different constitutions and backgrounds . ||| visa förmåga att arbeta i team och att samarbeta i grupper med olika konstitutioner och bakgrunder .
